Word,Frequency
Rains,1
Vada,1
Pav,1
Pure,1
Love,1
OUT,1
TOMORROW,1
AT,1
pm,1
on,18
the,94
YouTube,12
channel,4
Restaurant,2
style,8
Chilli,2
Chicken,2
by,7
Chef,4
sanjyotkeerHere,1
my,24
way,4
of,44
cooking,4
delicious,8
restaurant,7
like,6
chilli,8
chicken,10
at,18
home,11
The,4
recipe,21
is,34
super,3
simple,2
and,59
requires,2
basic,2
ingredients,3
no,2
fancy,2
sauces,2
or,8
anything,2
&,31
cooks,2
up,10
quickly,2
I,33
personally,2
love,11
to,49
have,20
self,2
dry,2
version,2
as,6
a,50
starter,2
with,21
gravy,2
some,12
egg,8
fried,7
rice,6
crispy,5
butter,2
naan,2
yes,2
you,32
heard,2
it,33
right,3
This,5
combination,3
tastes,3
amazing,17
You,2
could,2
also,6
prep,4
roll,2
roomali,2
roti,4
enjoy,3
this,33
appetizer,2
Do,5
try,8
let,8
me,10
know,8
in,46
comments,3
Cheers#recipe,3
My,2
latest,1
video,11
out,21
now,16
Check,5
Here,2
What’s,3
guys,7
New,5
live,1
Lasooni,2
Palak,1
Khichdi,1
Link,4
bio,1
palak,1
khichdi,1
famous,4
incredible,5
healthy,1
too,3
served,1
along,2
cucumber,1
raita,1
it’s,2
perfect,1
meal,2
for,38
gloomy,1
weather,1
Try,1
comforting,1
how,9
did,4
Veg,5
Triple,2
Schezwan,1
Fried,1
Rice,2
Recipe,2
It’s,6
an,7
check,1
schezwan,4
one,10
most,7
ordered,2
Desi,2
Chinese,3
delicacies,1
prepped,4
from,11
scratch,1
haven’t,1
used,6
store,1
bought,1
sauce,4
rather,1
hole,1
made,4
red,1
paste,1
just,10
any,4
kitchen,3
Crispy,1
Manchurian,1
balls,1
noodles,1
knowCheers#chinesefood,1
Raj,4
Kachori,2
sanjyotkeerIt’s,1
chaat,2
day,8
YFL,2
kachori,4
today,5
really,3
am,2
sure,2
will,9
shared,2
chutney,4
recipes,2
so,14
can,7
prepare,2
all,17
components,4
suddenly,2
remember,2
having,4
raj,2
grade,2
tuition,2
brakes,2
below,2
classes,2
Mumbai,7
Those,2
were,5
days,3
Enjoy,3
Cheers,4
Video,1
Grill,3
Sandwich,3
sanjyotkeerWhat’s,1
loved,2
street,4
foods,2
two,3
important,3
are,10
sandwich,7
masala,2
shown,2
these,8
easily,2
Also,2
usually,2
grill,6
grilled,2
using,2
machine,2
pan,2
plate,2
trick,3
cook,3
perfectly,2
crisp,2
which,5
your,11
going,3
So,2
don’t,2
need,3
special,2
equipment,2
turn,2
Here’s,1
another,1
Streetfood,1
recreated,1
Cooker,1
Pulao,1
sanjyotkeer,1
Woww,1
Just,2
finished,2
eating,3
South,2
Indian,4
banana,2
leaf,2
feast,3
Kuala,2
Lumpur,2
balasbananaleaf,2
It,4
was,9
honour,5
meet,1
fazleyyaakob,1
who,3
won,1
Masterchef,1
Celebrity,1
Malaysia,14
him,1
explain,1
about,3
food,9
well,3
He,1
showed,1
us,4
their,3
mutton,1
leg,1
